S No.,Barcode number,Name,Weight (in g),Price(in Rs),Expiry date
1,8 901499 008176,Kellogg's Cornflakes,100,49,19-08-2023
2,8 901052 087440,Tetley Green Tea,250,350,30-09-2023
3,8 901542 000065,Complan Kesar Badam,500,325,17-03-2024
4,8 901542 000058,Complan Kesar Badam,200,129,24-04-2024
5,8 901542 001741,Nycil,50,40,31-07-2024
6,8 902042 300433,AVT Premium CTC Dust Tea,250,110,06-12-2023
7,8 901499 009968,Kellogg's Chocos Webs,300,199,10-09-2023
8,8 901725 117092,Sunfeast Yippee Noodles,280,55,18-07-2023
9,8 901314 571809,Colgate Total 12,240,298,28-02-2023
10,8 901499 008176,Kellogg's Cornflakes,100,52,05-10-2023
11,8 901030 715129,Hamam,700,260,31-05-2025
12,8 901052 022113,Tetley Green Tea Bags Lemon And Honey,25,170,31-03-2024
13,8 901542 002052,Glucon-D,200,69,11-01-2025
14,8 901058 826784,Nescafe Classic Coffee Powder,200,600,31-05-2024
15,8 901058 903959,Nestle Milkmaid,380,139,30-09-2023
16,8 901030 764172,Pears Bathing Soap,300,162,31-01-2025
17,8 901030 807183,Horlicks,500,294,02-03-2024
18,8 901058 904024,Nestle Milo For Teenage,400,290,31-12-2023
19,8 901499 008176,Kellogg's Cornflakes,100,52,05-10-2023
20,8 901030 818097,Boost,500,299,22-03-2024
21,8 904043 906294,Tata Salt Vitamin Shakti,1000,30,30-11-2023
22,8 901542 000027,Complan Royal Chocolate Flavour,200,124,09-04-2024
23,8 901542 001291,Nycil,150,130,       31-06-2024
24,8 901030 656026,Brooke Bond Taj Mahal Tea,100,95,07-02-2024
25,8 901542 000010,Complan Creamy Classic,200,105,23-05-2024
26,8 901499 008176,Kellogg's Cornflakes,100,52,30-11-2023
27,7 622201 679187,Bourn Vita,500,228,24-08-2023
